id,input_query_name,accepted_scientific_name,gbif_key,gbif_url,kingdom,phylum,kelas,ordo,family,genus,nama_indonesia_api,nama_inggris_api,taxonomic_status,rank,seed_source,seed_note
rusa_timor,Rusa timorensis,Rusa timorensis,4262397,https://www.gbif.org/species/4262397,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rusa,Rusa Jawa,Javan Deer,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
rusa_bawean,Axis kuhlii,Axis kuhlii,5220129,https://www.gbif.org/species/5220129,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,,Bawean Deer,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
banteng,Bos javanicus,Bos javanicus,2441027,https://www.gbif.org/species/2441027,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Banteng,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
trenggiling,Manis javanica,Manis javanica,5219628,https://www.gbif.org/species/5219628,Animalia,Chordata,Mammalia,Pholidota,Manidae,Manis,Trenggiling,Sunda Pangolin,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
binturong,Arctictis binturong,Arctictis binturong,2434615,https://www.gbif.org/species/2434615,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Arctictis,Binturung,Binturong,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kuskus_beruang_sulawesi,Ailurops ursinus,Ailurops ursinus,5219990,https://www.gbif.org/species/5219990,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Ailurops,Kuskus-beruang Sulawesi,Bear Cuscus,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kuskus_tutul,Spilocuscus maculatus,Spilocuscus maculatus,9818309,https://www.gbif.org/species/9818309,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Spilocuscus,Kuskus Tutul,Common Spotted Cuscus,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
cenderawasih_besar,Paradisaea apoda,Paradisaea apoda,2494862,https://www.gbif.org/species/2494862,Animalia,Chordata,Aves,Passeriformes,Paradisaeidae,Paradisaea,Cenderawasih kuning-besar,Greater Bird-of-paradise,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
cenderawasih_kecil,Paradisaea minor,Paradisaea minor,2494859,https://www.gbif.org/species/2494859,Animalia,Chordata,Aves,Passeriformes,Paradisaeidae,Paradisaea,Cenderawasih Kuning-Kecil,Lesser Bird-of-paradise,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
cenderawasih_raja,Cicinnurus regius,Cicinnurus regius,2494913,https://www.gbif.org/species/2494913,Animalia,Chordata,Aves,Passeriformes,Paradisaeidae,Cicinnurus,Cenderawasih Raja,King Bird-of-paradise,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kakatua_kecil_jambul_kuning,Cacatua sulphurea,Cacatua sulphurea,2479893,https://www.gbif.org/species/2479893,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,Kakatua Jambul-Kuning,Yellow-crested Cockatoo,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kakatua_raja,Probosciger aterrimus,Probosciger aterrimus,2479187,https://www.gbif.org/species/2479187,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Probosciger,Kakatua raja,Palm Cockatoo,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
nuri_kepala_hitam,Lorius lory,Lorius lory,2479418,https://www.gbif.org/species/2479418,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Lorius,Kasturi kepala-hitam,Black-capped Lory,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
nuri_merah,Eos bornea,Eos bornea,2479486,https://www.gbif.org/species/2479486,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Eos,Nuri maluku,Red Lory,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
tiong_emas,Gracula religiosa,Gracula religiosa,2488999,https://www.gbif.org/species/2488999,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Gracula,Tiong emas,Common Hill Myna,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
rangkong_badak,Buceros rhinoceros,Buceros rhinoceros,2476004,https://www.gbif.org/species/2476004,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Buceros,Enggang cula,Rhinoceros Hornbill,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
rangkong_gading,Rhinoplax vigil,Rhinoplax vigil,2475951,https://www.gbif.org/species/2475951,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Rhinoplax,Rangkong gading,Helmeted Hornbill,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
buaya_muara,Crocodylus porosus,Crocodylus porosus,2441333,https://www.gbif.org/species/2441333,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Buaya muara,Saltwater Crocodile,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
buaya_siam,Crocodylus siamensis,Crocodylus siamensis,2441348,https://www.gbif.org/species/2441348,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Buaya kodok,Siamese Crocodile,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
penyu_hijau,Chelonia mydas,Chelonia mydas,2442225,https://www.gbif.org/species/2442225,Animalia,Chordata,Testudines,,Cheloniidae,Chelonia,Penyu Hijau,Green Turtle,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
penyu_sisik,Eretmochelys imbricata,Eretmochelys imbricata,8841716,https://www.gbif.org/species/8841716,Animalia,Chordata,Testudines,,Cheloniidae,Eretmochelys,Penyu Sisik,Hawksbill Turtle,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
sanca_kembang,Malayopython reticulatus,Malayopython reticulatus,9260388,https://www.gbif.org/species/9260388,Animalia,Chordata,Squamata,,Pythonidae,Malayopython,Sanca Kembang,Reticulated Python,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
ular_sendok_jawa,Naja sputatrix,Naja sputatrix,2470370,https://www.gbif.org/species/2470370,Animalia,Chordata,Squamata,,Elapidae,Naja,Kobra Jawa,Southern Indonesian Spitting Cobra,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
duyung,Dugong dugon,Dugong dugon,9729967,https://www.gbif.org/species/9729967,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Duyong,Dugong,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
ikan_raja_laut,Latimeria menadoensis,Latimeria menadoensis,2441276,https://www.gbif.org/species/2441276,Animalia,Chordata,Coelacanthi,Coelacanthiformes,Latimeriidae,Latimeria,Raja Laut,Sulawesi Coelacanth,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
arwana_asia,Scleropages formosus,Scleropages formosus,2402231,https://www.gbif.org/species/2402231,Animalia,Chordata,,Osteoglossiformes,Osteoglossidae,Scleropages,Arwana Asia,Asian bonytongue,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kupu_kupu_sayap_burung_wallace,Ornithoptera croesus,Ornithoptera croesus,1937481,https://www.gbif.org/species/1937481,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Ornithoptera,,Wallace's Golden Birdwing,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kupu_kupu_sayap_burung_surga,Ornithoptera paradisea,Ornithoptera paradisea,1937484,https://www.gbif.org/species/1937484,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Ornithoptera,Kupu-kupu sayap-burung surga,Paradise Birdwing,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
