id,input_query_name,accepted_scientific_name,gbif_key,gbif_url,kingdom,phylum,kelas,ordo,family,genus,nama_indonesia_api,nama_inggris_api,taxonomic_status,rank,seed_source,seed_note
kakao,Theobroma cacao,Theobroma cacao,3152205,https://www.gbif.org/species/3152205,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Theobroma,,cacao,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
cengkih,Syzygium aromaticum,Syzygium aromaticum,3183002,https://www.gbif.org/species/3183002,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,Cengkeh,clove,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
lada,Piper nigrum,Piper nigrum,3086357,https://www.gbif.org/species/3086357,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,,black pepper,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kayu_manis,Cinnamomum burmanni,Cinnamomum burmanni,3033985,https://www.gbif.org/species/3033985,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cinnamomum,Kayu Manis,Malaysian cinnamon,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kemiri,Aleurites moluccanus,Aleurites moluccanus,4930679,https://www.gbif.org/species/4930679,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Aleurites,Kemiri,Candlenut Tree,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
nangka,Artocarpus heterophyllus,Artocarpus heterophyllus,2984565,https://www.gbif.org/species/2984565,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Artocarpus,,jackfruit,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
sukun,Artocarpus altilis,Artocarpus altilis,2984573,https://www.gbif.org/species/2984573,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Artocarpus,Sukun (pohon),breadfruit,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
pinang,Areca catechu,Areca catechu,2736531,https://www.gbif.org/species/2736531,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Areca,,Betel Nut Palm,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
nipah,Nypa fruticans,Nypa fruticans,2738422,https://www.gbif.org/species/2738422,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Nypa,nipah,Nypa Palm,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
pandan_laut,Pandanus tectorius,Pandanus tectorius,8023236,https://www.gbif.org/species/8023236,Plantae,Tracheophyta,Liliopsida,Pandanales,Pandanaceae,Pandanus,,,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
pulai,Alstonia scholaris,Alstonia scholaris,5414410,https://www.gbif.org/species/5414410,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Alstonia,Waser,Blackboard Tree,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kayu_putih,Melaleuca cajuputi,Melaleuca cajuputi,5415885,https://www.gbif.org/species/5415885,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Melaleuca,Kaya Putih,Cajuput,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
gaharu,Aquilaria malaccensis,Aquilaria malaccensis,5524063,https://www.gbif.org/species/5524063,Plantae,Tracheophyta,Magnoliopsida,Malvales,Thymelaeaceae,Aquilaria,,Agarwood,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
cemara_laut,Casuarina equisetifolia,Casuarina equisetifolia,2891930,https://www.gbif.org/species/2891930,Plantae,Tracheophyta,Magnoliopsida,Fagales,Casuarinaceae,Casuarina,,Australian pine,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
merbau,Intsia bijuga,Intsia bijuga,2963211,https://www.gbif.org/species/2963211,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Intsia,Merbau,Borneo Teak,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
beringin,Ficus benjamina,Ficus benjamina,5361932,https://www.gbif.org/species/5361932,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,wariengien,weeping fig,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
