id,input_query_name,accepted_scientific_name,wikidata_url,label_id,label_en,kingdom,phylum,kelas,ordo,family,genus,seed_source,seed_note
kuskus_tutul,Spilocuscus maculatus,Spilocuscus maculatus,http://www.wikidata.org/entity/Q209548,Kuskus Tutul,Common spotted cuscus,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Spilocuscus,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
cenderawasih_besar,Paradisaea apoda,Paradisaea apoda,http://www.wikidata.org/entity/Q325356,cenderawasih kuning-besar,Paradisaea apoda,Animalia,Chordata,Aves,Passeriformes,Paradisaeidae,Paradisaea,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
cenderawasih_kecil,Paradisaea minor,Paradisaea minor,http://www.wikidata.org/entity/Q332621,cenderawasih kuning-kecil,Paradisaea minor,Animalia,Chordata,Aves,Passeriformes,Paradisaeidae,Paradisaea,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
cenderawasih_raja,Cicinnurus regius,Cicinnurus regius,http://www.wikidata.org/entity/Q795507,cenderawasih raja,King Bird-of-paradise,Animalia,Chordata,Aves,Passeriformes,Paradisaeidae,Cicinnurus,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kakatua_kecil_jambul_kuning,Cacatua sulphurea,Cacatua sulphurea,http://www.wikidata.org/entity/Q372906,kakatua-kecil jambul-kuning,Yellow-crested Cockatoo,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Cacatua,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kakatua_raja,Probosciger aterrimus,Probosciger aterrimus,http://www.wikidata.org/entity/Q31501,kakatua raja,Palm Cockatoo,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Probosciger,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
nuri_kepala_hitam,Lorius lory,Lorius lory,http://www.wikidata.org/entity/Q569758,kasturi kepala-hitam,Black-capped Lory,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Lorius,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
nuri_merah,Eos bornea,Eos bornea,http://www.wikidata.org/entity/Q850931,nuri maluku,Red Lory,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Eos,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
tiong_emas,Gracula religiosa,Gracula religiosa,http://www.wikidata.org/entity/Q337416,tiong emas,Common Hill Myna,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Gracula,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
rangkong_badak,Buceros rhinoceros,Buceros rhinoceros,http://www.wikidata.org/entity/Q751036,Rangkong badak,Rhinoceros Hornbill,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Buceros,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
rangkong_gading,Rhinoplax vigil,Rhinoplax vigil,http://www.wikidata.org/entity/Q226043,Rangkong gading,Helmeted Hornbill,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Rhinoplax,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
buaya_muara,Crocodylus porosus,Crocodylus porosus,http://www.wikidata.org/entity/Q182599,Buaya muara,Crocodylus porosus,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
buaya_siam,Crocodylus siamensis,Crocodylus siamensis,http://www.wikidata.org/entity/Q208277,Buaya Siam,Siamese crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
penyu_hijau,Chelonia mydas,Chelonia mydas,http://www.wikidata.org/entity/Q199458,Penyu hijau,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
penyu_sisik,Eretmochelys imbricata,Eretmochelys imbricata,http://www.wikidata.org/entity/Q203538,Penyu sisik,hawksbill sea turtle,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
sanca_kembang,Malayopython reticulatus,Malayopython reticulatus,http://www.wikidata.org/entity/Q216136,Ular sanca kembang,Reticulated python,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Malayopython,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
ular_sendok_jawa,Naja sputatrix,Naja sputatrix,http://www.wikidata.org/entity/Q2703580,Ular sendok jawa,Javan spitting cobra,Animalia,Chordata,Reptilia,Squamata,Elapidae,Naja,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
duyung,Dugong dugon,Dugong dugon,http://www.wikidata.org/entity/Q129544,Dugong,dugong,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
ikan_raja_laut,Latimeria menadoensis,Latimeria menadoensis,http://www.wikidata.org/entity/Q1156533,Coelacanth Indonesia,Sulawesi Coelacanth,Animalia,Chordata,Coelacanthi,Coelacanthiformes,Latimeriidae,Latimeria,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
arwana_asia,Scleropages formosus,Scleropages formosus,http://www.wikidata.org/entity/Q728584,Arwana Asia,Asian arowana,Animalia,Chordata,Teleostei,Osteoglossiformes,Osteoglossidae,Scleropages,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kupu_kupu_sayap_burung_wallace,Ornithoptera croesus,Ornithoptera croesus,http://www.wikidata.org/entity/Q1757731,Ornithoptera croesus,Ornithoptera croesus,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Ornithoptera,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kupu_kupu_sayap_burung_surga,Ornithoptera paradisea,Ornithoptera paradisea,http://www.wikidata.org/entity/Q1756827,Kupu-kupu sayap-burung surga,Ornithoptera paradisea,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Ornithoptera,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
