id,input_query_name,accepted_scientific_name,wikidata_url,label_id,label_en,kingdom,phylum,kelas,ordo,family,genus,seed_source,seed_note
kayu_manis,Cinnamomum burmanni,Cinnamomum burmanni,http://www.wikidata.org/entity/Q4115136,Cinnamomum burmannii,Cinnamomum burmanni,Plantae,,,Laurales,Lauraceae,Cinnamomum,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kemiri,Aleurites moluccanus,Aleurites moluccanus,http://www.wikidata.org/entity/Q1160961,Kemiri,Aleurites moluccanus,Plantae,,,Malpighiales,Euphorbiaceae,Aleurites,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
nangka,Artocarpus heterophyllus,Artocarpus heterophyllus,http://www.wikidata.org/entity/Q45757,Nangka,Artocarpus heterophyllus,Plantae,,,Rosales,Moraceae,Artocarpus,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
sukun,Artocarpus altilis,Artocarpus altilis,http://www.wikidata.org/entity/Q14677,Sukun,breadfruit,Plantae,,,Rosales,Moraceae,Artocarpus,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
pinang,Areca catechu,Areca catechu,http://www.wikidata.org/entity/Q156969,Pinang,Areca catechu,Plantae,,,Arecales,Arecaceae,Areca,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
nipah,Nypa fruticans,Nypa fruticans,http://www.wikidata.org/entity/Q843726,Nipah,Nypa fruticans,Plantae,,,Arecales,Arecaceae,Nypa,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
pandan_laut,Pandanus tectorius,Pandanus tectorius,http://www.wikidata.org/entity/Q312736,Pandan Pudak,Pandanus tectorius,Plantae,,,Pandanales,Pandanaceae,Pandanus,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
pulai,Alstonia scholaris,Alstonia scholaris,http://www.wikidata.org/entity/Q135307,Pulai,Alstonia scholaris,Plantae,,,Gentianales,Apocynaceae,Alstonia,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kayu_putih,Melaleuca cajuputi,Melaleuca cajuputi,http://www.wikidata.org/entity/Q2933398,gelam,Melaleuca cajuputi,Plantae,,,Myrtales,Myrtaceae,Melaleuca,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
gaharu,Aquilaria malaccensis,Aquilaria malaccensis,http://www.wikidata.org/entity/Q2249742,Gaharu,Aquilaria malaccensis,Plantae,,,Malvales,Thymelaeaceae,Aquilaria,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
cemara_laut,Casuarina equisetifolia,Casuarina equisetifolia,http://www.wikidata.org/entity/Q857220,cemara laut,Casuarina equisetifolia,Plantae,,,Fagales,Casuarinaceae,Casuarina,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
