id,nama_latin,nama_indonesia,nama_inggris,kingdom,phylum,kelas,ordo,family,genus,kategori,sinonim_ilmiah,sumber_data
kakao,Theobroma cacao,Kakao,cacao,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Theobroma,Magnoliopsida,Cacao minar|Theobroma cocao|Theobroma kalagua|Theobroma pentogona,GBIF: https://www.gbif.org/species/3152205; Wikidata: http://www.wikidata.org/entity/Q42385
cengkih,Syzygium aromaticum,Cengkih,clove,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,Magnoliopsida,Caryophyllus aromaticus|Caryophyllus hortensis|Caryophyllus silvestris|Eugenia aromatica,GBIF: https://www.gbif.org/species/3183002; Wikidata: http://www.wikidata.org/entity/Q26736
lada,Piper nigrum,lada,black pepper,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Magnoliopsida,Muldera multinervis|Muldera wightiana|Piper aromaticum|Piper baccatum|Piper colonum,GBIF: https://www.gbif.org/species/3086357; Wikidata: http://www.wikidata.org/entity/Q43084
kayu_manis,Cinnamomum burmanni,Cinnamomum burmannii,Malaysian cinnamon,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cinnamomum,Magnoliopsida,Cinnamomum ammannii|Cinnamomum burmannii chinense|Cinnamomum burmannii kiamis|Cinnamomum cassia|Cinnamomum chinense,GBIF: https://www.gbif.org/species/3033985; Wikidata: http://www.wikidata.org/entity/Q4115136
kemiri,Aleurites moluccanus,Kemiri,Candlenut Tree,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Aleurites,Magnoliopsida,Aleurites ambinux|Aleurites angustifolius|Aleurites commutatus|Aleurites cordifolius,GBIF: https://www.gbif.org/species/4930679; Wikidata: http://www.wikidata.org/entity/Q1160961
nangka,Artocarpus heterophyllus,Nangka,jackfruit,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Artocarpus,Magnoliopsida,Artocarpus brasiliensis|Artocarpus grandis|Artocarpus integra,GBIF: https://www.gbif.org/species/2984565; Wikidata: http://www.wikidata.org/entity/Q45757
sukun,Artocarpus altilis,Sukun,breadfruit,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Artocarpus,Magnoliopsida,Artocarpus altilis|Artocarpus altilis non-seminifer|Artocarpus altilis non-seminiferus|Artocarpus altilis seminifer|Artocarpus altilis seminiferus,GBIF: https://www.gbif.org/species/2984573; Wikidata: http://www.wikidata.org/entity/Q14677
pinang,Areca catechu,Pinang,Betel Nut Palm,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Areca,Liliopsida,Areca catechu communis|Areca catechu alba|Areca catechu batanensis|Areca catechu longicarpa|Areca catechu nigra,GBIF: https://www.gbif.org/species/2736531; Wikidata: http://www.wikidata.org/entity/Q156969
nipah,Nypa fruticans,Nipah,Nypa Palm,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Nypa,Liliopsida,Cocos nypa|Nipa arborescens|Nipa fruticans|Nipa fruticans neameana,GBIF: https://www.gbif.org/species/2738422; Wikidata: http://www.wikidata.org/entity/Q843726
pandan_laut,Pandanus tectorius,Pandan Pudak,Seashore Pandan,Plantae,Tracheophyta,Liliopsida,Pandanales,Pandanaceae,Pandanus,Liliopsida,Corypha laevis|Pandanus absonus|Pandanus adscendens|Pandanus aequor|Pandanus aitutakiensis,GBIF: https://www.gbif.org/species/8023236; Wikidata: http://www.wikidata.org/entity/Q312736
