id,nama_latin,nama_indonesia,nama_inggris,kingdom,kelas,ordo,family,genus,kategori,habitat,deskripsi,sinonim_ilmiah,status_endemik,sumber_data
badak_jawa,Rhinoceros sondaicus,Badak Sunda,Javan rhinoceros,Animalia,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,Mamalia,Hutan hujan dataran rendah,spesies mamalia,-,Tidak endemik,GBIF: https://www.gbif.org/species/5220112; Wikidata: http://www.wikidata.org/entity/Q170311
badak_sumatra,Dicerorhinus sumatrensis,badak sumatra,Sumatran rhinoceros,Animalia,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus,Mamalia,Hutan hujan Sumatra dan Kalimantan,spesies mamalia,Didermocerus sumatrensis|Rhinoceros crossii|Rhinoceros sumatrensis,Tidak endemik,GBIF: https://www.gbif.org/species/2440878; Wikidata: http://www.wikidata.org/entity/Q29220
bekantan,Nasalis larvatus,bekantan,Proboscis monkey,Animalia,Mammalia,Primates,Cercopithecidae,Nasalis,Mamalia,Hutan mangrove dan rawa Kalimantan,spesies monyet berhidung panjang,Cercopithecus larvatus|Cercopithecus nasica|Nasalis capistratus|Nasalis larvatus orientalis|Nasalis nasica,Tidak endemik,GBIF: https://www.gbif.org/species/2436525; Wikidata: http://www.wikidata.org/entity/Q192029
yaki,Macaca nigra,monyet hitam sulawesi,Celebes crested macaque,Animalia,Mammalia,Primates,Cercopithecidae,Macaca,Mamalia,Hutan Sulawesi,Yaki adalah entri leksikon fauna Indonesia kategori Mamalia dengan habitat utama Hutan Sulawesi. Status endemik: Endemik Indonesia.,Cynocephalus malayanus|Cynocephalus niger|Cynopithecus lembicus|Cynopithecus niger|Macaca lembicus,Endemik Indonesia,GBIF: https://www.gbif.org/species/2436616; Wikidata: http://www.wikidata.org/entity/Q280590
tangkasi,Tarsius tarsier,Tangkasi,Spectral tarsier,Animalia,Mammalia,Primates,Tarsiidae,Tarsius,Mamalia,Hutan Sulawesi,Tangkasi adalah entri leksikon fauna Indonesia kategori Mamalia dengan habitat utama Hutan Sulawesi. Status endemik: Endemik Indonesia.,Didelphys macrotarsos|Lemur podje|Lemur spectrum|Lemur tarsier|Macrotarsus buffonii,Endemik Indonesia,GBIF: https://www.gbif.org/species/4266949; Wikidata: http://www.wikidata.org/entity/Q859277
anoa_dataran_rendah,Bubalus depressicornis,Anoa dataran rendah,Lowland anoa,Animalia,Mammalia,Artiodactyla,Bovidae,Bubalus,Mamalia,Hutan Sulawesi,hewan endemik yang berasal dari Pulau Sulawesi,Anoa depressicornis|Bos bubalus anoa|Bubalus anoa,Endemik Indonesia,GBIF: https://www.gbif.org/species/8085503; Wikidata: http://www.wikidata.org/entity/Q317393
anoa_pegunungan,Bubalus quarlesi,anoa pegunungan,mountain anoa,Animalia,Mammalia,Artiodactyla,Bovidae,Bubalus,Mamalia,Hutan pegunungan Sulawesi,Spesies ungulata,Anoa quarlesi,Endemik Indonesia,GBIF: https://www.gbif.org/species/7846959; Wikidata: http://www.wikidata.org/entity/Q769957
babi_sulawesi,Sus celebensis,Babi varu,Celebes warty pig,Animalia,Mammalia,Artiodactyla,Suidae,Sus,Mamalia,Hutan dan semak Sulawesi,Spesies babi liar,-,Endemik Indonesia,GBIF: https://www.gbif.org/species/2441221; Wikidata: http://www.wikidata.org/entity/Q535406
beruang_madu,Helarctos malayanus,Beruang madu,Sun bear,Animalia,Mammalia,Carnivora,Ursidae,Helarctos,Mamalia,Hutan tropis Sumatra dan Kalimantan,Beruang madu adalah entri leksikon fauna Indonesia kategori Mamalia dengan habitat utama Hutan tropis Sumatra dan Kalimantan. Status endemik: Tidak endemik.,Helarctos euryspilus|Ursus malayanus,Tidak endemik,GBIF: https://www.gbif.org/species/2433403; Wikidata: http://www.wikidata.org/entity/Q144923
macan_dahan_sunda,Neofelis diardi,Macan dahan Sunda,Sunda clouded leopard,Animalia,Mammalia,Carnivora,Felidae,Neofelis,Mamalia,Hutan Sumatra dan Kalimantan,Macan dahan sunda adalah entri leksikon fauna Indonesia kategori Mamalia dengan habitat utama Hutan Sumatra dan Kalimantan. Status endemik: Tidak endemik.,Felis diardi|Neofelis nebulosa diardi,Tidak endemik,GBIF: https://www.gbif.org/species/5787229; Wikidata: http://www.wikidata.org/entity/Q275163
kucing_kuwuk,Prionailurus bengalensis,Kucing kuwuk,leopard cat,Animalia,Mammalia,Carnivora,Felidae,Prionailurus,Mamalia,Hutan dan lahan terbuka,Kucing kuwuk adalah entri leksikon fauna Indonesia kategori Mamalia dengan habitat utama Hutan dan lahan terbuka. Status endemik: Tidak endemik.,Felis bengalensis,Tidak endemik,GBIF: https://www.gbif.org/species/2434903; Wikidata: http://www.wikidata.org/entity/Q42627
ajag,Cuon alpinus,Ajak,dhole,Animalia,Mammalia,Carnivora,Canidae,Cuon,Mamalia,Hutan dan padang rumput,anjing hutan,Canis alpinus,Tidak endemik,GBIF: https://www.gbif.org/species/2434317; Wikidata: http://www.wikidata.org/entity/Q132585
rusa_timor,Rusa timorensis,Rusa Jawa,Javan rusa,Animalia,Mammalia,Artiodactyla,Cervidae,Rusa,Mamalia,Hutan musim dan savana,Rusa timor adalah entri leksikon fauna Indonesia kategori Mamalia dengan habitat utama Hutan musim dan savana. Status endemik: Tidak endemik.,Cervus celebensis|Cervus hippelaphus|Cervus lepidus|Cervus peronii|Cervus tavistocki,Tidak endemik,GBIF: https://www.gbif.org/species/4262397; Wikidata: http://www.wikidata.org/entity/Q663412
rusa_bawean,Axis kuhlii,Rusa Bawean,Bawean deer,Animalia,Mammalia,Artiodactyla,Cervidae,Axis,Mamalia,Hutan Pulau Bawean,Rusa bawean adalah entri leksikon fauna Indonesia kategori Mamalia dengan habitat utama Hutan Pulau Bawean. Status endemik: Endemik Indonesia.,Axis kuhlii|Axis porcinus kuhli|Cervus kuhlii,Endemik Indonesia,GBIF: https://www.gbif.org/species/5220129; Wikidata: http://www.wikidata.org/entity/Q221342
banteng,Bos javanicus,Banteng,Banteng,Animalia,Mammalia,Artiodactyla,Bovidae,Bos,Mamalia,Hutan dan padang rumput,spesies hewan,Bos banteng|Bos birmanicus|Bos lowi,Tidak endemik,GBIF: https://www.gbif.org/species/2441027; Wikidata: http://www.wikidata.org/entity/Q183035
trenggiling,Manis javanica,Trenggiling biasa,Sunda pangolin,Animalia,Mammalia,Pholidota,Manidae,Manis,Mamalia,Hutan tropis,jenis hewan menyusui,-,Tidak endemik,GBIF: https://www.gbif.org/species/5219628; Wikidata: http://www.wikidata.org/entity/Q269728
binturong,Arctictis binturong,Binturung,binturong,Animalia,Mammalia,Carnivora,Viverridae,Arctictis,Mamalia,Hutan tropis,Binturong adalah entri leksikon fauna Indonesia kategori Mamalia dengan habitat utama Hutan tropis. Status endemik: Tidak endemik.,Ictides albifrons|Ictides ater|Paradoxurus albifrons|Viverra binturong,Tidak endemik,GBIF: https://www.gbif.org/species/2434615; Wikidata: http://www.wikidata.org/entity/Q213141
kuskus_beruang_sulawesi,Ailurops ursinus,kuskus beruang sulawesi,Sulawesi bear cuscus,Animalia,Mammalia,Diprotodontia,Phalangeridae,Ailurops,Mamalia,Hutan Sulawesi,Kuskus beruang sulawesi adalah entri leksikon fauna Indonesia kategori Mamalia dengan habitat utama Hutan Sulawesi. Status endemik: Endemik Indonesia.,? ursinus|Phalanger ursinus,Endemik Indonesia,GBIF: https://www.gbif.org/species/5219990; Wikidata: http://www.wikidata.org/entity/Q209755
kuskus_tutul,Spilocuscus maculatus,Kuskus Tutul,Common spotted cuscus,Animalia,Mammalia,Diprotodontia,Phalangeridae,Spilocuscus,Mamalia,Hutan Papua dan Maluku,Kuskus tutul adalah entri leksikon fauna Indonesia kategori Mamalia dengan habitat utama Hutan Papua dan Maluku. Status endemik: Tidak endemik.,Phalanger maculatus|Phalangista maculata|Spilocuscus maculatus,Tidak endemik,GBIF: https://www.gbif.org/species/9818309; Wikidata: http://www.wikidata.org/entity/Q209548
cenderawasih_besar,Paradisaea apoda,cenderawasih kuning-besar,Greater bird-of-paradise,Animalia,Aves,Passeriformes,Paradisaeidae,Paradisaea,Burung,Hutan Papua,spesies burung,-,Tidak endemik,GBIF: https://www.gbif.org/species/2494862; Wikidata: http://www.wikidata.org/entity/Q325356
cenderawasih_kecil,Paradisaea minor,cenderawasih kuning-kecil,Lesser bird-of-paradise,Animalia,Aves,Passeriformes,Paradisaeidae,Paradisaea,Burung,Hutan Papua,spesies burung,-,Tidak endemik,GBIF: https://www.gbif.org/species/2494859; Wikidata: http://www.wikidata.org/entity/Q332621
cenderawasih_raja,Cicinnurus regius,cenderawasih raja,King Bird-of-paradise,Animalia,Aves,Passeriformes,Paradisaeidae,Cicinnurus,Burung,Hutan Papua,spesies burung,Paradisaea regia,Tidak endemik,GBIF: https://www.gbif.org/species/2494913; Wikidata: http://www.wikidata.org/entity/Q795507
kakatua_kecil_jambul_kuning,Cacatua sulphurea,kakatua-kecil jambul-kuning,Yellow-crested Cockatoo,Animalia,Aves,Psittaciformes,Psittacidae,Cacatua,Burung,Hutan dan savana,spesies burung,Cacatura sulphurea|Psittacus sulphureus,Tidak endemik,GBIF: https://www.gbif.org/species/2479893; Wikidata: http://www.wikidata.org/entity/Q372906
kakatua_raja,Probosciger aterrimus,kakatua raja,Palm Cockatoo,Animalia,Aves,Psittaciformes,Psittacidae,Probosciger,Burung,Hutan Papua,spesies burung,Probosciger aterrinus|Psittacus aterrimus,Tidak endemik,GBIF: https://www.gbif.org/species/2479187; Wikidata: http://www.wikidata.org/entity/Q31501
nuri_kepala_hitam,Lorius lory,kasturi kepala-hitam,Black-capped Lory,Animalia,Aves,Psittaciformes,Psittacidae,Lorius,Burung,Hutan Papua,spesies burung,Psittacus lory,Tidak endemik,GBIF: https://www.gbif.org/species/2479418; Wikidata: http://www.wikidata.org/entity/Q569758
nuri_merah,Eos bornea,nuri maluku,Red Lory,Animalia,Aves,Psittaciformes,Psittacidae,Eos,Burung,Hutan Maluku,spesies burung,Eos borneo borneo|Eos rubra|Psittacus borneus,Endemik Indonesia,GBIF: https://www.gbif.org/species/2479486; Wikidata: http://www.wikidata.org/entity/Q850931
tiong_emas,Gracula religiosa,tiong emas,Common Hill Myna,Animalia,Aves,Passeriformes,Sturnidae,Gracula,Burung,Hutan tropis,spesies burung,-,Tidak endemik,GBIF: https://www.gbif.org/species/2488999; Wikidata: http://www.wikidata.org/entity/Q337416
rangkong_badak,Buceros rhinoceros,Rangkong badak,Rhinoceros Hornbill,Animalia,Aves,Bucerotiformes,Bucerotidae,Buceros,Burung,Hutan Sumatra dan Kalimantan,spesies burung,-,Tidak endemik,GBIF: https://www.gbif.org/species/2476004; Wikidata: http://www.wikidata.org/entity/Q751036
rangkong_gading,Rhinoplax vigil,Rangkong gading,Helmeted Hornbill,Animalia,Aves,Bucerotiformes,Bucerotidae,Rhinoplax,Burung,Hutan Sumatra dan Kalimantan,spesies burung,Buceros vigil,Tidak endemik,GBIF: https://www.gbif.org/species/2475951; Wikidata: http://www.wikidata.org/entity/Q226043
buaya_muara,Crocodylus porosus,Buaya muara,Saltwater crocodile,Animalia,Crocodylia,Crocodilia,Crocodylidae,Crocodylus,Reptil,"Muara, sungai, dan pesisir",spesies buaya,Crocodilus biporcatus|Crocodilus biporcatus raninus|Crocodilus oopholis|Crocodylus natans|Crocodylus nathani,Tidak endemik,GBIF: https://www.gbif.org/species/2441333; Wikidata: http://www.wikidata.org/entity/Q182599
buaya_siam,Crocodylus siamensis,Buaya Siam,Siamese crocodile,Animalia,Crocodylia,Crocodilia,Crocodylidae,Crocodylus,Reptil,Sungai dan rawa,Buaya siam adalah entri leksikon fauna Indonesia kategori Reptil dengan habitat utama Sungai dan rawa. Status endemik: Tidak endemik.,Crocodilus galeatus|Crocodylus ossifragus,Tidak endemik,GBIF: https://www.gbif.org/species/2441348; Wikidata: http://www.wikidata.org/entity/Q208277
penyu_hijau,Chelonia mydas,Penyu hijau,Green sea turtle,Animalia,Reptilia,Testudines,Cheloniidae,Chelonia,Reptil,Laut tropis dan pantai peneluran,Penyu hijau adalah entri leksikon fauna Indonesia kategori Reptil dengan habitat utama Laut tropis dan pantai peneluran. Status endemik: Tidak endemik.,Caretta cepedii|Caretta esculenta|Caretta spec|Caretta thunbergi|Chelone mydas,Tidak endemik,GBIF: https://www.gbif.org/species/2442225; Wikidata: http://www.wikidata.org/entity/Q199458
penyu_sisik,Eretmochelys imbricata,Penyu sisik,hawksbill sea turtle,Animalia,Reptilia,Testudines,Cheloniidae,Eretmochelys,Reptil,Terumbu karang dan laut tropis,Penyu sisik adalah entri leksikon fauna Indonesia kategori Reptil dengan habitat utama Terumbu karang dan laut tropis. Status endemik: Tidak endemik.,Caretta bissa|Caretta rostrata|Caretta squamosa|Chelone imbricata|Chelonia griseam,Tidak endemik,GBIF: https://www.gbif.org/species/8841716; Wikidata: http://www.wikidata.org/entity/Q203538
sanca_kembang,Malayopython reticulatus,Ular sanca kembang,Reticulated python,Animalia,Reptilia,Squamata,Pythonidae,Malayopython,Reptil,Hutan dan lahan basah,Jenis ular sancaka Terpanjang dan Terberat di Seluruh Dunia,Boa phrygia|Boa reticulata|Boa rhombeata|Broghammerius reticulatus|Broghammerius reticulatus dalegibbonsi,Tidak endemik,GBIF: https://www.gbif.org/species/9260388; Wikidata: http://www.wikidata.org/entity/Q216136
ular_sendok_jawa,Naja sputatrix,Ular sendok jawa,Javan spitting cobra,Animalia,Reptilia,Squamata,Elapidae,Naja,Reptil,"Hutan, kebun, dan permukiman",ular berbisa,Naja leptocoryphaea,Tidak endemik,GBIF: https://www.gbif.org/species/2470370; Wikidata: http://www.wikidata.org/entity/Q2703580
duyung,Dugong dugon,Dugong,dugong,Animalia,Mammalia,Sirenia,Dugongidae,Dugong,Mamalia laut,Padang lamun dan perairan pesisir,Duyung adalah entri leksikon fauna Indonesia kategori Mamalia laut dengan habitat utama Padang lamun dan perairan pesisir. Status endemik: Tidak endemik.,Dugong dugon|Dugong dugon dugon|Dugong dugon hemprichii|Dugong dugon tabernaculi|Dugong dugong,Tidak endemik,GBIF: https://www.gbif.org/species/9729967; Wikidata: http://www.wikidata.org/entity/Q129544
ikan_raja_laut,Latimeria menadoensis,Coelacanth Indonesia,Sulawesi Coelacanth,Animalia,Coelacanthi,Coelacanthiformes,Latimeriidae,Latimeria,Ikan,Perairan laut dalam Sulawesi,Spesies ikan coelacanth yang berasal dari Indonesia,-,Endemik Indonesia,GBIF: https://www.gbif.org/species/2441276; Wikidata: http://www.wikidata.org/entity/Q1156533
arwana_asia,Scleropages formosus,Arwana Asia,Asian arowana,Animalia,Actinopteri,Osteoglossiformes,Osteoglossidae,Scleropages,Ikan,Sungai dan rawa gambut,Jenis ikan Arwana,Osteoglossum formosum|Scleropages aureus|Scleropages legendrei|Scleropages macrocephalus,Tidak endemik,GBIF: https://www.gbif.org/species/2402231; Wikidata: http://www.wikidata.org/entity/Q728584
kupu_kupu_sayap_burung_wallace,Ornithoptera croesus,Kupu-kupu sayap burung Wallace,Wallace's golden birdwing,Animalia,Insecta,Lepidoptera,Papilionidae,Ornithoptera,Serangga,Hutan Maluku,spesies serangga,Ornithoptera croesus toeantei|Ornithoptera croesus wallacei,Endemik Indonesia,GBIF: https://www.gbif.org/species/1937481; Wikidata: http://www.wikidata.org/entity/Q1757731
kupu_kupu_sayap_burung_surga,Ornithoptera paradisea,Kupu-kupu sayap-burung surga,Paradise birdwing,Animalia,Insecta,Lepidoptera,Papilionidae,Ornithoptera,Serangga,Hutan Papua,spesies serangga,Troides paradisea|Troides paradiseus caliginosa,Tidak endemik,GBIF: https://www.gbif.org/species/1937484; Wikidata: http://www.wikidata.org/entity/Q1756827
