id,nama_latin,nama_indonesia,nama_inggris,kingdom,kelas,ordo,family,genus,kategori,habitat,deskripsi,sinonim_ilmiah,status_endemik,sumber_data
pisang,Musa acuminata,Pisang,Wild banana,Plantae,Liliopsida,Zingiberales,Musaceae,Musa,Herba buah,Hutan dan kebun tropis,Pisang adalah entri leksikon flora Indonesia kategori Herba buah dengan habitat utama Hutan dan kebun tropis. Status endemik: Tidak endemik.,Musa acuminata burmannicoides|Musa brieyi|Musa cavendishii|Musa chinensis,Tidak endemik,GBIF: https://www.gbif.org/species/2762680; Wikidata: http://www.wikidata.org/entity/Q132970
padi,Oryza sativa,padi,oryza molida,Plantae,Liliopsida,Poales,Poaceae,Oryza,Tanaman pangan,Sawah dan lahan basah,spesies tanaman,Oryza aristata|Oryza communissima|Oryza denudata|Oryza elongata|Oryza formosana,Tidak endemik,GBIF: https://www.gbif.org/species/2703459; Wikidata: http://www.wikidata.org/entity/Q161426
kopi_robusta,Coffea canephora,Robusta,Robusta coffee,Plantae,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Tanaman perkebunan,Perkebunan tropis,variasi jenis kopi di Indonesia,Coffea arabica stuhlmannii|Coffea bukobensis|Coffea canephora|Coffea canephora sankuruensis,Tidak endemik,GBIF: https://www.gbif.org/species/2895528; Wikidata: http://www.wikidata.org/entity/Q47532
kopi_arabika,Coffea arabica,Kopi arabika,Arabica coffee,Plantae,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Tanaman perkebunan,Perkebunan dataran tinggi,variasi jenis kopi di Etiopia,Coffea arabica abyssinica|Coffea arabica amarella|Coffea arabica angustifolia|Coffea arabica bourbon,Tidak endemik,GBIF: https://www.gbif.org/species/2895345; Wikidata: http://www.wikidata.org/entity/Q47685
kakao,Theobroma cacao,Kakao,cacao,Plantae,Magnoliopsida,Malvales,Malvaceae,Theobroma,Pohon perkebunan,Perkebunan tropis,spesies tumbuhan Meksiko,Cacao minar|Theobroma cocao|Theobroma kalagua|Theobroma pentogona,Tidak endemik,GBIF: https://www.gbif.org/species/3152205; Wikidata: http://www.wikidata.org/entity/Q42385
cengkih,Syzygium aromaticum,Cengkih,clove,Plantae,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,Pohon rempah,Kebun dan hutan tropis,Spesies tanaman,Caryophyllus aromaticus|Caryophyllus hortensis|Caryophyllus silvestris|Eugenia aromatica,Asli Indonesia Timur,GBIF: https://www.gbif.org/species/3183002; Wikidata: http://www.wikidata.org/entity/Q26736
lada,Piper nigrum,lada,black pepper,Plantae,Magnoliopsida,Piperales,Piperaceae,Piper,Tanaman rempah,Perkebunan tropis,spesies tumbuhan,Muldera multinervis|Muldera wightiana|Piper aromaticum|Piper baccatum|Piper colonum,Tidak endemik,GBIF: https://www.gbif.org/species/3086357; Wikidata: http://www.wikidata.org/entity/Q43084
kayu_manis,Cinnamomum burmanni,Cinnamomum burmannii,Indonesian cinnamon,Plantae,Magnoliopsida,Laurales,Lauraceae,Cinnamomum,Pohon rempah,Hutan dan perkebunan,Kayu manis adalah entri leksikon flora Indonesia kategori Pohon rempah dengan habitat utama Hutan dan perkebunan. Status endemik: Tidak endemik.,Cinnamomum ammannii|Cinnamomum burmannii chinense|Cinnamomum burmannii kiamis|Cinnamomum cassia|Cinnamomum chinense,Tidak endemik,GBIF: https://www.gbif.org/species/3033985; Wikidata: http://www.wikidata.org/entity/Q4115136
kemiri,Aleurites moluccanus,Kemiri,Candlenut,Plantae,Magnoliopsida,Malpighiales,Euphorbiaceae,Aleurites,Pohon,Hutan dan kebun tropis,Tumbuhan berbiji dimanfaatkan sebagai rempah-rempah,Aleurites ambinux|Aleurites angustifolius|Aleurites commutatus|Aleurites cordifolius,Tidak endemik,GBIF: https://www.gbif.org/species/4930679; Wikidata: http://www.wikidata.org/entity/Q1160961
nangka,Artocarpus heterophyllus,Nangka,Jackfruit,Plantae,Magnoliopsida,Rosales,Moraceae,Artocarpus,Pohon buah,Kebun dan hutan tropis,spesies tumbuhan bergenus Artocarpus,Artocarpus brasiliensis|Artocarpus grandis|Artocarpus integra,Tidak endemik,GBIF: https://www.gbif.org/species/2984565; Wikidata: http://www.wikidata.org/entity/Q45757
